Date,Campaign Type,Purchases,Revenue,Cost,CPA,Add to cart,Cost per ATC,AOV
18 Jan 2026,Demand Gen,0,0,14.508564,null,1,14.508564,null
18 Jan 2026,Other,0,0,0,null,0,null,null
17 Jan 2026,Generic,1.46601,2520.055613,521.4324359999999,355.6813637014754,4.861199,107.26416178395493,1718.9893745608829
17 Jan 2026,Performance Max,0,0,72.714314,null,0.253238,287.138241496142,null
17 Jan 2026,Brand,2.560724,5100.908505,91.405983,35.695367013391525,10.961681,8.338682999441419,1991.9790281967132
17 Jan 2026,Demand Gen,0,0,15.034921,null,0,null,null
17 Jan 2026,Other,0,0,0,null,0,null,null
16 Jan 2026,Generic,1,1660.029999,502.31722699999995,502.31722699999995,8.182459999999999,61.38951207827475,1660.029999
16 Jan 2026,Brand,0.778357,916.811143,89.247097,114.66087797758613,12.504102,7.137425542433995,1177.8799997944388
16 Jan 2026,Performance Max,0,0,39.073773,null,0,null,null
16 Jan 2026,Demand Gen,0,0,14.871187,null,1,14.871187,null
15 Jan 2026,Generic,0,0,417.28363699999994,null,4.908869,85.00606494082444,null
15 Jan 2026,Performance Max,0,0,65.394992,null,1.682916,38.85814384080964,null
15 Jan 2026,Brand,3,7161.461998,69.987435,23.329145,14.917556,4.691615369166371,2387.153999333333
15 Jan 2026,Demand Gen,0,0,15.076347,null,0,null,null
15 Jan 2026,Other,0,0,0,null,0,null,null
14 Jan 2026,Brand,3.9995830000000003,9061.539216000001,76.662196,19.16754721679735,19.874480000000002,3.857318329838063,2265.6209949887275
14 Jan 2026,Performance Max,0,0,58.179167,null,0,null,null
14 Jan 2026,Generic,0,0,434.4041220000001,null,6.275743,69.21955248964147,null
14 Jan 2026,Demand Gen,0,0,15.369015,null,0,null,null
13 Jan 2026,Generic,0.579091,1684.381723,451.49440100000004,779.660538671815,3.740229,120.71303682207696,2908.664999110675
13 Jan 2026,Brand,2.351903,7353.268410999999,108.78063499999999,46.25217749201391,13.756428999999999,7.9076215927839995,3126.5185728322977
13 Jan 2026,Performance Max,0,0,63.06602,null,2.000285,31.528517186300956,null
13 Jan 2026,Demand Gen,0,0,14.402665,null,0,null,null
12 Jan 2026,Generic,1,3261.861,355.44282200000004,355.44282200000004,5.358848,66.32821494470454,3261.861
12 Jan 2026,Brand,3,3366.827997,95.500598,31.833532666666667,19.270513,4.955789085635654,1122.275999
12 Jan 2026,Performance Max,0,0,45.847999,null,1,45.847999,null
12 Jan 2026,Demand Gen,0,0,15.530872,null,0.005032,3086.421303656598,null
12 Jan 2026,Other,0,0,0,null,0.425859,0,null
11 Jan 2026,Demand Gen,0,0,15.507813,null,0,null,null
11 Jan 2026,Brand,4.869502,7502.435876,106.343758,21.83873381713366,25.987891,4.09205033221049,1540.698797536175
11 Jan 2026,Performance Max,1.556729,3215.759322,32.194765,20.681033757320638,1.418644,22.69404092922537,2065.715562567409
11 Jan 2026,Generic,0,0,287.38789999999995,null,4.17817,68.78319934325314,null
11 Jan 2026,Other,0,0,0,null,0.598124,0,null
10 Jan 2026,Generic,6,9236.934,280.33488300000005,46.72248050000001,7.773638,36.06225077627747,1539.4889999999998
10 Jan 2026,Brand,1.021009,2711.7304000000004,99.107663,97.06835395182608,20.622297,4.805849852710394,2655.9319261632368
10 Jan 2026,Performance Max,0.535147,1184.165254,37.317541,69.73325273242678,7.452475,5.007402373037145,2212.784999261885
10 Jan 2026,Demand Gen,0,0,15.195997,null,0,null,null
9 Jan 2026,Generic,1,1800.297,257.157779,257.157779,2.4067019999999997,106.85069402028171,1800.297
9 Jan 2026,Brand,5.555787,10103.135579,85.553022,15.398902441724278,32.297129,2.6489358233668385,1818.4886459830084
9 Jan 2026,Performance Max,0,0,56.969764,null,0.602778,94.51201603243648,null
9 Jan 2026,Demand Gen,0,0,15.470019,null,0,null,null
8 Jan 2026,Generic,0,0,267.565661,null,10.297106,25.984549542366562,null
8 Jan 2026,Brand,3,7280.037,71.312603,23.770867666666664,10.896736,6.544400359887584,2426.679
8 Jan 2026,Performance Max,0.556156,718.79103,46.111813999999995,82.91165428404979,3.822896,12.062011103624057,1292.4269988995893
8 Jan 2026,Demand Gen,0,0,14.688461,null,0,null,null
8 Jan 2026,Other,0,0,0,null,0,null,null
7 Jan 2026,Performance Max,0,0,68.371636,null,0.084143,812.5647528612005,null
7 Jan 2026,Generic,2,2762.784,286.78690499999993,143.39345249999997,4.996072,57.402476385448395,1381.392
7 Jan 2026,Brand,1.548587,2769.612962,103.603048,66.90166454968303,14.793508000000001,7.003277924343569,1788.4774713981199
7 Jan 2026,Demand Gen,0,0,15.298209,null,5,3.0596418,null
7 Jan 2026,Other,1,1899.350998,0,0,1,0,1899.350998
6 Jan 2026,Generic,1.391365,1006.614426,537.388664,386.2312649807922,6.333465,84.8490777165422,723.4725798047241
6 Jan 2026,Brand,5,6852.329997999999,112.99166699999999,22.598333399999998,10.887332,10.378269625653004,1370.4659995999998
6 Jan 2026,Performance Max,2.9687099999999997,4548.276143,83.58153300000001,28.154158877088033,5.618774,14.875403958230034,1532.071553974622
6 Jan 2026,Demand Gen,0,0,15.295438,null,0,null,null
5 Jan 2026,Generic,0,0,748.514643,null,16.710983,44.79177813776724,null
5 Jan 2026,Performance Max,0,0,148.076726,null,5.032187,29.425918790378816,null
5 Jan 2026,Brand,1.577345,1831.396484,102.566052,65.02448861853304,34.515865,2.9715625553640335,1161.06272502211
5 Jan 2026,Demand Gen,0,0,15.377372,null,0.000176,87371.43181818182,null
5 Jan 2026,Other,0,0,0,null,0.000744,0,null
4 Jan 2026,Generic,0.346587,236.909544,1173.599932,3386.1625854403082,24.291187,48.313815706083034,683.5500004327919
4 Jan 2026,Performance Max,0.231062,157.94243,413.905892,1791.319611186608,9.170055,45.136685875929864,683.5499995672158
4 Jan 2026,Brand,4.577649,6715.217143,115.01193099999999,25.124672293572527,57.57465199999999,1.9976140020785536,1466.957633274198
